# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M5-Z7	1.89006e+06		6.55487e+14
N1-O2	257228		7.86876e+15
N1-O3	265995		7.87826e+15
N1-P2	475966		3.25055e+15
N1-P3	480964		3.45091e+15
N1-Q2	607519		1.79021e+15
N1-Q3	610634		1.93977e+15
N1-R2	692646		1.11223e+15
N1-R3	694716		1.22054e+15
N1-S2	750809		7.43838e+14
N1-S3	752253		8.22649e+14
N1-T2	772494		2.75194e+14
N1-T3	776058		4.95392e+14
N1-U2	804451		1.98412e+14
N1-U3	807121		3.63266e+14
N1-V2	828663		1.48184e+14
N1-V3	830715		2.74761e+14
N1-W2	847444		1.13806e+14
N1-W3	849054		2.13096e+14
N1-X2	862304		8.94182e+13
N1-X3	863591		1.68737e+14
N1-Y2	874262		7.16027e+13
N1-Y3	875307		1.35972e+14
N1-Z2	884028		5.82667e+13
N1-Z3	884887		1.11222e+14
N2-N1	146281		1.80271e+15
N2-O1	479365		1.20463e+14
N2-O4	397147		1.1002e+16
N2-P1	666491		4.55959e+13
N2-P4	618448		6.12662e+15
N2-Q1	781795		2.47513e+13
N2-Q4	751373		3.71381e+15
N2-R1	857729		1.5365e+13
N2-R4	837294		2.41841e+15
N2-S1	910307		1.03252e+13
N2-S4	895944		1.662e+15
N2-T1	918775		3.50701e+14
N2-T4	922339		1.18921e+15
N2-U1	950732		2.59924e+14
N2-U4	953402		8.84337e+14
N2-V1	974944		1.98086e+14
N2-V4	976995		6.75703e+14
N2-W1	993725		1.54477e+14
N2-W4	995335		5.28054e+14
N2-X1	1.00858e+06		1.22825e+14
N2-X4	1.00987e+06		4.20589e+14
N2-Y1	1.02054e+06		9.92867e+13
N2-Y4	1.02159e+06		3.40486e+14
N2-Z1	1.03031e+06		8.14135e+13
N2-Z4	1.03117e+06		2.79546e+14
N3-N1	128721		2.63202e+15
N3-O1	461805		5.45773e+13
N3-O4	379587		2.26889e+15
N3-O5	387382		1.2848e+16
N3-P1	648931		1.24079e+13
N3-P4	600888		1.20543e+15
N3-P5	605365		7.14457e+15
N3-Q1	764235		5.24413e+12
N3-Q4	733813		7.16886e+14
N3-Q5	736616		4.33103e+15
N3-R1	840169		2.86152e+12
N3-R4	819733		4.61504e+14
N3-R5	821600		2.82315e+15
N3-S1	892747		1.79191e+12
N3-S4	878384		3.14882e+14
N3-S5	879688		1.94183e+15
N3-T1	901215		7.49996e+14
N3-T4	904778		2.23521e+14
N3-T5	905812		1.38756e+15
N3-U1	933172		5.55597e+14
N3-U4	935841		1.6565e+14
N3-U5	936617		1.03265e+15
N3-V1	957384		4.23297e+14
N3-V4	959435		1.26253e+14
N3-V5	960032		7.89534e+14
N3-W1	976165		3.3005e+14
N3-W4	977775		9.84793e+13
N3-W5	978244		6.17342e+14
N3-X1	991024		2.62394e+14
N3-X4	992311		7.83226e+13
N3-X5	992686		4.91929e+14
N3-Y1	1.00298e+06		2.12093e+14
N3-Y4	1.00403e+06		6.3332e+13
N3-Y5	1.00433e+06		3.98396e+14
N3-Z1	1.01275e+06		1.73903e+14
N3-Z4	1.01361e+06		5.19478e+13
N3-Z5	1.01386e+06		3.27203e+14
N4-N2	11583.7		1.64862e+12
N4-N3	29143.8		2.5821e+12
N4-N6	15178.4		1.36771e+12
N4-O2	415092		1.25725e+15
N4-O3	423860		8.49506e+13
N4-O6	416406		1.98269e+16
N4-P2	633830		6.27595e+14
N4-P3	638828		4.3256e+13
N4-P6	634446		1.0193e+16
N4-Q2	765383		3.56789e+14
N4-Q3	768498		2.463e+13
N4-Q6	765730		5.87509e+15
N4-R2	850510		2.2361e+14
N4-R3	852580		1.54704e+13
N4-R6	850735		3.70545e+15
N4-S2	908673		1.49845e+14
N4-S3	910117		1.03821e+13
N4-S6	908835		2.49289e+15
N4-T2	930359		2.7779e+14
N4-T3	933922		1.38589e+13
