# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
L3-[1	4.20916e+06		3.86043e+14
L3-[4	4.20987e+06		1.82351e+14
L3-[5	4.21008e+06		1.33438e+15
L3-\1	4.21592e+06		3.24523e+14
L3-\4	4.21652e+06		1.53144e+14
L3-\5	4.21669e+06		1.12143e+15
L3-]1	4.22163e+06		-nan
L3-]4	4.22214e+06		1.2987e+14
L3-]5	4.22229e+06		9.5157e+14
L3-^1	4.22649e+06		-nan
L3-^4	4.22693e+06		-nan
L3-^5	4.22706e+06		8.1441e+14
L3-_1	4.23068e+06		2.03332e+14
L3-_4	4.23106e+06		-nan
L3-_5	4.23117e+06		-nan
L3-`1	4.2343e+06		-nan
L3-`4	4.23463e+06		8.31524e+13
L3-`5	4.23473e+06		-nan
L3-a1	4.23746e+06		-nan
L3-a4	4.23775e+06		-nan
L3-a5	4.23783e+06		5.33305e+14
L3-b1	4.24023e+06		-nan
L3-b4	4.24048e+06		-nan
L3-b5	4.24055e+06		-nan
L3-c1	4.24267e+06		1.19944e+14
L3-c4	4.24289e+06		-nan
L3-c5	4.24296e+06		-nan
L3-d1	4.24483e+06		-nan
L3-d4	4.24503e+06		5.01103e+13
L3-d5	4.24509e+06		-nan
L3-e1	4.24676e+06		9.50423e+13
L3-e4	4.24693e+06		-nan
L3-e5	4.24699e+06		3.2847e+14
L3-f1	4.24848e+06		-nan
L3-f4	4.24864e+06		4.00445e+13
L3-f5	4.24868e+06		-nan
L3-g1	4.25002e+06		7.65843e+13
L3-g4	4.25017e+06		-nan
L3-g5	4.25021e+06		2.64739e+14
L3-h1	4.25142e+06		-nan
L3-h4	4.25155e+06		3.25062e+13
L3-h5	4.25158e+06		-nan
L3-i1	4.25268e+06		-nan
L3-i4	4.25279e+06		-nan
L3-i5	4.25283e+06		2.16494e+14
L3-j1	4.25382e+06		5.68899e+13
L3-j4	4.25392e+06		-nan
L3-j5	4.25396e+06		-nan
L3-k1	4.25486e+06		5.1844e+13
L3-k4	4.25495e+06		2.43757e+13
L3-k5	4.25498e+06		-nan
L3-l1	4.25581e+06		-nan
L3-l4	4.2559e+06		2.22753e+13
L3-l5	4.25592e+06		1.63872e+14
L3-m1	4.25668e+06		-nan
L3-m4	4.25676e+06		-nan
L3-m5	4.25678e+06		1.50165e+14
L3-n1	4.25747e+06		-nan
L3-n4	4.25755e+06		-nan
L3-n5	4.25757e+06		-nan
L3-o1	4.2582e+06		-nan
L3-o4	4.25827e+06		-nan
L3-o5	4.25829e+06		-nan
L3-p1	4.25888e+06		-nan
L3-p4	4.25894e+06		-nan
L3-p5	4.25896e+06		-nan
L3-q1	4.2595e+06		-nan
L3-q4	4.25956e+06		-nan
L3-q5	4.25958e+06		-nan
L3-r1	4.26008e+06		-nan
L3-r4	4.26014e+06		-nan
L3-r5	4.26015e+06		-nan
M1-N2	530806		2.7729e+16
M1-N3	548195		2.79131e+16
M1-O2	878699		6.16553e+15
M1-O3	907938		9.47462e+15
M1-P2	1.11211e+06		2.73362e+15
M1-P3	1.1289e+06		4.70593e+15
M1-Q2	1.25131e+06		1.49027e+15
M1-Q3	1.26182e+06		2.73235e+15
M1-R2	1.34088e+06		9.12899e+14
M1-R3	1.34789e+06		1.74088e+15
M1-S2	1.40188e+06		6.03793e+14
M1-S3	1.40678e+06		1.18226e+15
M1-T2	1.44527e+06		4.21829e+14
M1-T3	1.44883e+06		8.41608e+14
M1-U2	1.47723e+06		3.07125e+14
M1-U3	1.4799e+06		6.21324e+14
M1-V2	1.50144e+06		2.30965e+14
M1-V3	1.50349e+06		4.72236e+14
M1-W2	1.52022e+06		1.78287e+14
M1-W3	1.52183e+06		3.67578e+14
M1-X2	1.53508e+06		1.40624e+14
M1-X3	1.53637e+06		2.91868e+14
M1-Y2	1.54704e+06		1.12946e+14
M1-Y3	1.54808e+06		2.35704e+14
M1-Z2	1.5568e+06		9.21314e+13
M1-Z3	1.55766e+06		1.93136e+14
M1-[2	1.56488e+06		7.61647e+13
