# Z = 53, A = 127 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N7-U9	421270		1.78543e+14
N7-V5	431622		2.65145e+12
N7-V8	431680		4.54793e+12
N7-V9	431715		1.3203e+14
N7-W5	439770		2.03907e+12
N7-W8	439816		3.4646e+12
N7-W9	439843		1.00643e+14
N7-X5	446234		1.60386e+12
N7-X8	446270		2.70519e+12
N7-X9	446292		7.86217e+13
N7-Y5	451447		1.28552e+12
N7-Y8	451477		2.15566e+12
N7-Y9	451494		6.26752e+13
N7-Z5	455713		1.04696e+12
N7-Z8	455737		1.7474e+12
N7-Z9	455752		5.08214e+13
N7-[5	459248		8.64489e+11
N7-[8	459268		1.4373e+12
N7-[9	459280		4.18133e+13
N7-\5	462210		7.22412e+11
N7-\8	462227		1.19725e+12
N7-\9	462237		3.48372e+13
N7-]5	464716		6.1007e+11
N7-]8	464730		1.00835e+12
N7-]9	464739		2.93456e+13
N7-^4	466830		-nan
N7-^5	466855		5.20023e+11
N7-^8	466867		8.57562e+11
N7-^9	466875		2.49603e+13
O1-P2	76157.5		5.99152e+14
O1-P3	77972.7		5.76782e+14
O1-Q2	125628		2.98784e+14
O1-Q3	127510		2.99296e+14
O1-R2	164440		1.86559e+14
O1-R3	165698		1.90487e+14
O1-S2	190974		1.25435e+14
O1-S3	191856		1.29729e+14
O1-T2	209910		8.87733e+13
O1-T3	210552		9.25468e+13
O1-U2	223894		6.53112e+13
O1-U3	224376		6.84407e+13
O1-V2	234512		4.95344e+13
O1-V3	234883		5.20964e+13
O1-W2	242764		3.85039e+13
O1-W3	243056		4.06052e+13
O1-X2	249305		3.05452e+13
O1-X3	249538		3.22806e+13
O1-Y2	254576		2.46514e+13
O1-Y3	254765		2.60967e+13
O1-Z2	258885		2.01899e+13
O1-Z3	259041		2.14041e+13
O1-[2	262454		1.67484e+13
O1-[3	262584		1.77769e+13
O1-\2	265443		1.40499e+13
O1-\3	265553		1.49281e+13
O1-]2	267971		-nan
O1-]3	268064		1.26588e+13
O1-^2	270128		-nan
O1-^3	270207		-nan
O2-O1	22592.1		4.13832e+13
O2-O4	1778.75		1.9159e+10
O2-P1	111866		7.27996e+12
O2-P4	99761		6.06073e+14
O2-Q1	148220		1.01093e+14
O2-Q4	150102		3.72894e+14
O2-R1	187032		6.53715e+13
O2-R4	188290		2.53148e+14
O2-S1	213566		4.48055e+13
O2-S4	214448		1.78035e+14
O2-T1	232502		3.2054e+13
O2-T4	233144		1.29525e+14
O2-U1	246486		2.37307e+13
O2-U4	246968		9.70516e+13
O2-V1	257104		1.80683e+13
O2-V4	257475		7.45605e+13
O2-W1	265357		1.40812e+13
O2-W4	265648		5.8509e+13
O2-X1	271897		1.11911e+13
O2-X4	272130		4.67525e+13
O2-Y1	277168		9.04405e+12
O2-Y4	277357		3.79466e+13
O2-Z1	281477		7.41503e+12
O2-Z4	281633		3.12211e+13
O2-[1	285046		6.15624e+12
O2-[4	285176		2.59962e+13
O2-\1	288035		5.16791e+12
