# Z = 13, A = 27 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N3-Z1	26574.4		6.29099e+10
N3-Z4	26575		3.96782e+10
N3-Z5	26575.1		2.38331e+11
N3-[1	26785.8		5.23381e+10
N3-[4	26786.2		3.30364e+10
N3-[5	26786.4		1.98433e+11
N3-\1	26962.9		4.40129e+10
N3-\4	26963.2		2.77996e+10
N3-\5	26963.4		1.66975e+11
N3-]1	27112.7		-nan
N3-]4	27113.1		2.36147e+10
N3-]5	27113.2		1.41837e+11
N3-^1	27240.7		-nan
N3-^4	27241		-nan
N3-^5	27241.1		1.21507e+11
N4-N6	20.2696		124503
N4-O2	10639.3		1.14313e+12
N4-O3	10656.3		1.11788e+11
N4-O6	10674.5		1.4188e+13
N4-P2	16432.4		5.69704e+11
N4-P3	16442.2		5.57799e+10
N4-P6	16454.5		7.06793e+12
N4-Q2	19914.5		3.2478e+11
N4-Q3	19920.6		3.1757e+10
N4-Q6	19930.3		4.02099e+12
N4-R2	22163		2.03598e+11
N4-R3	22167.1		1.99249e+10
N4-R6	22175.4		2.51297e+12
N4-S2	23692.5		1.3603e+11
N4-S3	23695.3		1.33217e+10
N4-S6	23702.9		1.67528e+12
N4-T2	23674.2		9.19967e+10
N4-T3	23676.3		9.00943e+09
N4-T6	23677		1.14932e+12
N4-U2	24496.8		6.77453e+10
N4-U3	24498.4		6.6354e+09
N4-U6	24499		8.45507e+11
N4-V2	25122.5		5.13902e+10
N4-V3	25123.7		5.03367e+09
N4-V6	25124.1		6.40922e+11
N4-W2	25609.3		3.99423e+10
N4-W3	25610.3		3.91229e+09
N4-W6	25610.6		4.97878e+11
N4-X2	25995.6		3.16801e+10
N4-X3	25996.4		3.10292e+09
N4-X6	25996.6		3.94724e+11
N4-Y2	26307.2		2.55623e+10
N4-Y3	26307.8		2.50359e+09
N4-Y6	26308		3.18391e+11
N4-Z2	26562.2		2.09322e+10
N4-Z3	26562.7		2.05003e+09
N4-Z6	26562.9		2.60651e+11
N4-[2	26773.5		1.73618e+10
N4-[3	26774		1.70029e+09
N4-[6	26774.1		2.16144e+11
N4-\2	26950.6		1.45631e+10
N4-\3	26951		1.42615e+09
N4-\6	26951.1		1.81268e+11
N4-]2	27100.5		-nan
