# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
]8-a7	15512.2		-nan
]8-a10	15536.6		-nan
]8-b6	18194.8		-nan
]8-b7	18230.9		2.19233e+10
]8-b10	18252.3		-nan
]8-b11	18266.5		-nan
]8-c6	20597.6		-nan
]8-c7	20629.5		-nan
]8-c10	20648.5		2.74819e+12
]8-c11	20661.1		-nan
]8-d6	22728		-nan
]8-d7	22756.4		-nan
]8-d10	22773.3		-nan
]8-e6	24625.9		5.27678e+11
]8-e7	24651.2		-nan
]8-e10	24666.3		-nan
]8-e11	24676.3		-nan
]8-f6	26323.7		-nan
]8-f7	26346.4		1.19187e+10
]8-f10	26359.9		-nan
]8-f11	26368.9		-nan
]8-g6	27848.7		3.96684e+11
]8-g7	27869.1		-nan
]8-g10	27881.3		1.70017e+12
]8-g11	27889.3		-nan
]8-h6	29223.5		-nan
]8-h7	29242		8.93534e+09
]8-h10	29252.9		-nan
]8-i6	30467.2		3.06393e+11
]8-i7	30484		-nan
]8-i10	30493.9		1.37816e+12
]8-i11	30500.5		-nan
]8-j6	31596		-nan
]8-j7	31611.3		6.71386e+09
]8-j10	31620.3		-nan
]8-k6	32623.7		-nan
]8-k7	32637.5		-nan
]8-k10	32645.8		1.13621e+12
]8-k11	32651.2		-nan
]8-l6	33561.8		2.19629e+11
]8-l7	33574.5		-nan
]8-l10	33582		-nan
]8-m6	34420.6		1.98703e+11
]8-m7	34432.3		4.80477e+09
]8-m10	34439.2		-nan
]8-m11	34443.7		-nan
]8-n6	35208.8		-nan
]8-n7	35219.5		4.39186e+09
]8-n10	35225.8		8.67392e+11
]8-n11	35230		-nan
]8-o6	35933.8		-nan
]8-o7	35943.7		-nan
]8-o10	35949.5		7.96171e+11
]8-p6	36602.3		-nan
]8-p7	36611.4		-nan
]8-p10	36616.8		-nan
]8-q6	37220		-nan
]8-q7	37228.4		-nan
]8-q10	37233.3		-nan
]8-q11	37236.7		-nan
]8-r6	37791.8		-nan
]8-r7	37799.6		-nan
]8-r10	37804.2		-nan
]8-r11	37807.3		-nan
]9-]11	28.6797		1.16361e+07
]9-^7	4720.28		2.11912e+12
]9-^10	4757.36		1.26012e+11
]9-^11	4781.94		5.54012e+12
]9-_6	8764.93		-nan
]9-_7	8818.87		1.59761e+12
]9-_10	8850.9		1.10889e+11
]9-_11	8872.13		4.93956e+12
]9-`6	12323.8		-nan
]9-`7	12370.7		-nan
]9-`10	12398.6		9.73118e+10
]9-`11	12417.1		4.2556e+12
]9-a7	15469		-nan
]9-a10	15493.3		-nan
]9-a11	15509.5		3.71308e+12
]9-b6	18151.5		-nan
]9-b7	18187.6		8.07703e+11
]9-b10	18209.1		-nan
]9-b11	18223.3		-nan
]9-c6	20554.3		-nan
]9-c7	20586.3		-nan
]9-c10	20605.2		6.42356e+10
]9-c11	20617.8		-nan
]9-d6	22684.8		-nan
]9-d7	22713.2		-nan
]9-d10	22730.1		-nan
