# Z = 6, A = 12 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N1-Q2	4212.37		7.45212e+10
N1-Q3	4212.65		7.43703e+10
N1-R2	4685.21		4.94691e+10
N1-R3	4685.39		4.94005e+10
N1-S2	5005.16		3.41772e+10
N1-S3	5005.29		3.41455e+10
N1-T2	4916.55		2.40754e+10
N1-T3	4916.65		2.40596e+10
N1-U2	5090.72		1.81182e+10
N1-U3	5090.79		1.81082e+10
N1-V2	5223.18		1.39708e+10
N1-V3	5223.24		1.39636e+10
N1-W2	5326.27		1.09966e+10
N1-W3	5326.31		1.0991e+10
N1-X2	5408.06		8.80923e+09
N1-X3	5408.1		8.8047e+09
N1-Y2	5474.05		7.16511e+09
N1-Y3	5474.08		7.16133e+09
N1-Z2	5528.06		5.90568e+09
N1-Z3	5528.08		5.90248e+09
N1-[2	5572.81		4.92479e+09
N1-[3	5572.83		4.92205e+09
N1-\2	5610.32		4.14955e+09
N1-\3	5610.34		4.14718e+09
N1-]2	5642.06		-nan
N1-]3	5642.08		3.52673e+09
N1-^2	5669.16		-nan
N1-^3	5669.18		-nan
N2-N1	3.19139		4113.25
N2-N4	3.36802		3872.63
N2-O1	2259.04		5.65354e+10
N2-O4	2259.46		3.2759e+11
N2-P1	3481.85		3.13415e+10
N2-P4	3482.48		1.89834e+11
N2-Q1	4215.9		1.88919e+10
N2-Q4	4216.7		1.16909e+11
N2-R1	4688.49		1.22259e+10
N2-R4	4689.42		7.64472e+10
N2-S1	5008.28		8.30919e+09
N2-S4	5009.31		5.22814e+10
N2-T1	4919.74		5.80025e+09
N2-T4	4919.84		3.65717e+10
N2-U1	5093.91		4.32681e+09
N2-U4	5093.98		2.73694e+10
N2-V1	5226.37		3.31421e+09
N2-V4	5226.43		2.10149e+10
N2-W1	5329.46		2.59523e+09
N2-W4	5329.5		1.64865e+10
N2-X1	5411.25		2.07053e+09
N2-X4	5411.29		1.31725e+10
N2-Y1	5477.24		1.67857e+09
N2-Y4	5477.27		1.06914e+10
N2-Z1	5531.25		1.37982e+09
N2-Z4	5531.27		8.79689e+09
N2-[1	5576.01		1.1481e+09
N2-[4	5576.02		7.32526e+09
N2-\1	5613.51		9.65575e+08
N2-\4	5613.53		6.16472e+09
N2-]1	5645.25		-nan
N2-]4	5645.27		5.23716e+09
N2-^1	5672.35		-nan
N2-^4	5672.37		-nan
N3-N1	1.683		1207.04
N3-N4	1.85963		130.352
N3-N5	2.36137		1601.7
N3-O1	2257.53		1.13463e+11
N3-O4	2257.95		6.55736e+10
N3-O5	2258.21		3.93261e+11
N3-P1	3480.34		6.28621e+10
N3-P4	3480.97		3.79696e+10
N3-P5	3481.12		2.27812e+11
N3-Q1	4214.39		3.79354e+10
N3-Q4	4215.19		2.33892e+10
N3-Q5	4215.28		1.40227e+11
N3-R1	4686.98		2.45316e+10
N3-R4	4687.91		1.52856e+10
N3-R5	4687.97		9.17106e+10
N3-S1	5006.77		1.66626e+10
N3-S4	5007.8		1.045e+10
N3-S5	5007.84		6.27269e+10
N3-T1	4918.23		1.16269e+10
N3-T4	4918.33		7.30849e+09
N3-T5	4918.36		4.38791e+10
N3-U1	5092.4		8.67224e+09
N3-U4	5092.47		5.46922e+09
N3-U5	5092.5		3.28377e+10
N3-V1	5224.86		6.64244e+09
N3-V4	5224.92		4.19935e+09
N3-V5	5224.94		2.52128e+10
N3-W1	5327.95		5.20148e+09
N3-W4	5327.99		3.29449e+09
N3-W5	5328.01		1.97792e+10
N3-X1	5409.75		4.14997e+09
N3-X4	5409.78		2.6323e+09
N3-X5	5409.79		1.58029e+10
N3-Y1	5475.73		3.36448e+09
