Energy, Intensity, Transition 
 214.74,  8.519443361530706e-08,  U7-Q8
 72.4685,  8.543403896441336e-08,  U5-S6
 4.00978,  8.84209517162249e-08,  O7-O5
 30.8052,  8.924803136175499e-08,  U5-T6
 874.718,  9.169294243541991e-08,  S5-N6
 129.558,  9.18129665180048e-08,  U11-R12
 2.3234,  9.572891978083002e-08,  P8-P6
 8.31752,  9.664657184112064e-08,  O5-O3
 533.611,  9.691677749744043e-08,  T5-O6
 314.333,  9.944198073544073e-08,  T7-P8
 271.89,  1.0295456743880543e-07,  S9-P10
 130.152,  1.0355420094657148e-07,  U7-R8
 94.8994,  1.086868105037022e-07,  V15-S16
 98.8673,  1.0890438620192452e-07,  T13-R14
 4.9044,  1.1053057446065829e-07,  S4-S2
 316.155,  1.1235784415537989e-07,  T5-P6
 129.794,  1.168081425261275e-07,  U9-R10
 2.3686,  1.1844241796949158e-07,  O9-O7
 185.021,  1.1958467711922062e-07,  T5-Q6
 7.0108500000000005,  1.2018574511134665e-07,  R3-R1
 152.609,  1.2413372323865311e-07,  V13-R14
 72.1569,  1.257275981367533e-07,  U7-S8
 99.95,  1.2840232237069925e-07,  T5-R6
 183.49,  1.3029812062155704e-07,  T9-Q10
 53.663199999999996,  1.3359695924677628e-07,  V17-T18
 41.6633,  1.366170784990468e-07,  T5-S6
 184.059,  1.4016404107563409e-07,  T7-Q8
 491.948,  1.449057439621001e-07,  S5-O6
 816.431,  1.4610775940057146e-07,  R5-N6
 71.76360000000001,  1.4734597287317914e-07,  U13-S14
 30.680400000000002,  1.4935921175204705e-07,  U7-T8
 4.8091800000000005,  1.5561901689629788e-07,  P6-P4
 430.631,  1.5754657824522994e-07,  R7-O8
 141.821,  1.6701701279457938e-07,  S11-Q12
 272.856,  1.700753184885308e-07,  S7-P8
 274.491,  1.715145326868558e-07,  S5-P6
 71.9725,  1.7361218129347344e-07,  U9-S10
 236.915,  1.7457758222186134e-07,  V11-Q12
 30.4764,  1.7518545242709393e-07,  U17-T18
 99.4713,  1.8333386906915952e-07,  T7-R8
 71.8504,  1.8621095461865708e-07,  U11-S12
 143.358,  1.9300353213660913e-07,  S5-Q6
 7.0108500000000005,  1.982886973826498e-07,  R4-R2
 31.0631,  2.0583854127593961e-07,  U3-T4
 99.0006,  2.0808770276153858e-07,  T11-R12
 58.2868,  2.1186577402922507e-07,  S5-R6
 73.1122,  2.183303227420424e-07,  U3-S4
 41.4766,  2.295605669917012e-07,  T7-S8
 10.515799999999999,  2.2967415496900505e-07,  Q3-Q1
 99.188,  2.3120854529528006e-07,  T9-R10
 132.003,  2.330459868511836e-07,  U3-R4
 433.661,  2.3728334340798665e-07,  R5-O6
 30.6064,  2.4377125687850315e-07,  U9-T10
 214.068,  2.5197885010920046e-07,  R9-P10
 23.1755,  2.5393144080248995e-07,  V19-U20
 142.583,  2.5762256761759845e-07,  S7-Q8
 218.076,  2.606879007671681e-07,  U3-Q4
 731.36,  2.621438670225113e-07,  Q5-N6
 41.202,  2.7060254407394774e-07,  T15-S16
 142.124,  2.760265724859533e-07,  S9-Q10
 350.993,  2.9500037371918334e-07,  U3-P4
 216.205,  2.966890729844568e-07,  R5-P6
 367.139,  2.9708303643894927e-07,  V9-P10
 42.049099999999996,  2.9923563414704234e-07,  T3-S4
 30.496599999999997,  3.1761365667365507e-07,  U15-T16
 100.94,  3.186666430441754e-07,  T3-R4
 30.5575,  3.2832838541785146e-07,  U11-T12
 571.958,  3.3530175863629323e-07,  U3-O4
 187.012,  3.4245861948792637e-07,  T3-Q4
 214.861,  3.4430813854297015e-07,  R7-P8
 85.0714,  3.4485956675222894e-07,  R5-Q6
 57.994699999999995,  3.517110767278341e-07,  S7-R8
 1839.37,  3.5491635273288187e-07,  U3-M4
 41.366,  3.618689812556493e-07,  T9-S10
 30.5227,  3.6541465479538234e-07,  U13-T14
 346.043,  3.6945520049253566e-07,  Q7-O8
 960.882,  3.7858997728435846e-07,  U3-N4
 319.93,  3.8337369680507436e-07,  T3-P4
 10.515799999999999,  3.96965131733696e-07,  Q4-Q2
 57.626400000000004,  4.0782016327957293e-07,  S13-R14
 94.9824,  4.080064816367696e-07,  V13-S14
 540.895,  4.310235705047974e-07,  T3-O4
 41.2409,  4.421929227959067e-07,  T13-S14
 1808.31,  4.4842802412313745e-07,  T3-M4
 53.6974,  4.492924220762503e-07,  V15-T16
 348.59,  4.512617935905598e-07,  Q5-O6
 41.2929,  4.556445305050891e-07,  T11-S12
 58.8909,  4.563418505065996e-07,  S3-R4
 929.819,  4.817248302547488e-07,  T3-N4
 4.00978,  4.835863741835118e-07,  O8-O6
 144.963,  4.869382736647705e-07,  S3-Q4
 152.801,  4.922850726152268e-07,  V11-R12
 16.797900000000002,  4.960187757259063e-07,  P3-P1
 57.822,  5.239254429658625e-07,  S9-R10
 277.881,  5.248446085933023e-07,  S3-P4
 7.10499,  5.47859575932192e-07,  N7-N5
